GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TinyLDF,foo,Endpoint,372,0,38,0,91,0,26,0,7,0
TinyLDF,foo,HelloAppEngine,3,69,0,0,2,15,0,3,0,3
