Nom/ID,subject,predicate,object,graph
q36,<http://fr.dbpedia.org/resource/Godthaab_/_Nuuk_Airport>,<http://sw-portal.deri.org/ontologies/swportal/inCountry>,Greenland,http://MonSchema
q37,<http://fr.dbpedia.org/resource/Godthaab_/_Nuuk_Airport>,<http://www.w3.org/2003/01/geo/wgs84_pos/lat>,64.19090271,http://MonSchema
q38,<http://fr.dbpedia.org/resource/Godthaab_/_Nuuk_Airport>,<http://www.w3.org/2003/01/geo/wgs84_pos/long>,-51.678100585900005,http://MonSchema
q39,<http://fr.dbpedia.org/resource/Godthaab_/_Nuuk_Airport>,<http://dbpedia.org/ontology/alitude>,283,http://MonSchema
q40,<http://fr.dbpedia.org/resource/Kangerlussuaq_Airport>,<http://sw-portal.deri.org/ontologies/swportal/inCity>,Sondrestrom,http://MonSchema
q41,<http://fr.dbpedia.org/resource/Kangerlussuaq_Airport>,<http://sw-portal.deri.org/ontologies/swportal/inCountry>,Greenland,http://MonSchema
q42,<http://fr.dbpedia.org/resource/Kangerlussuaq_Airport>,<http://www.w3.org/2003/01/geo/wgs84_pos/lat>,67.0122218992,http://MonSchema
q43,<http://fr.dbpedia.org/resource/Kangerlussuaq_Airport>,<http://www.w3.org/2003/01/geo/wgs84_pos/long>,-50.7116031647,http://MonSchema
q44,<http://fr.dbpedia.org/resource/Kangerlussuaq_Airport>,<http://dbpedia.org/ontology/alitude>,165,http://MonSchema
q45,<http://fr.dbpedia.org/resource/Thule_Air_Base>,<http://sw-portal.deri.org/ontologies/swportal/inCity>,Thule,http://MonSchema
q46,<http://fr.dbpedia.org/resource/Thule_Air_Base>,<http://sw-portal.deri.org/ontologies/swportal/inCountry>,Greenland,http://MonSchema
q47,<http://fr.dbpedia.org/resource/Thule_Air_Base>,<http://www.w3.org/2003/01/geo/wgs84_pos/lat>,76.5311965942,http://MonSchema
q48,<http://fr.dbpedia.org/resource/Thule_Air_Base>,<http://www.w3.org/2003/01/geo/wgs84_pos/long>,-68.70320129390001,http://MonSchema
q49,<http://fr.dbpedia.org/resource/Thule_Air_Base>,<http://dbpedia.org/ontology/alitude>,251,http://MonSchema
q50,<http://fr.dbpedia.org/resource/Akureyri_Airport>,<http://sw-portal.deri.org/ontologies/swportal/inCity>,Akureyri,http://MonSchema
q51,<http://fr.dbpedia.org/resource/Akureyri_Airport>,<http://sw-portal.deri.org/ontologies/swportal/inCountry>,Iceland,http://MonSchema
q52,<http://fr.dbpedia.org/resource/Akureyri_Airport>,<http://www.w3.org/2003/01/geo/wgs84_pos/lat>,65.66000366210939,http://MonSchema
